ID,Nazwa,N,E,przepustowość,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Dzien_suma
1,al. Mickiewicza – Piłsudskiego – Focha,50.05934344093985,19.92503696847241,5355,1659,999,625,424,467,760,2215,4425,5629,5695,5537,5392,5465,5488,5572,5631,5647,5432,5299,5282,5242,4567,3811,2789,93932
2,al. Mickiewicza – Reymonta,50.063863160640636,19.923833174132504,5 859,1258,741,458,318,325,592,2017,4039,5095,4895,4745,4560,4665,4552,4674,4711,4609,4498,4542,4445,4406,3867,3116,2251,79289
3,al. Słowackiego – Prądnicka – Długa,50.07368569656613,19.935774207755486,6 308,1237,811,498,319,305,434,1472,2986,4105,4105,4066,3902,3998,3961,3896,3854,3648,3403,3516,3622,3656,3075,2531,1998,65312
4,Beliny-Prażmowskiego – Brodowicza,50.068038277569215,19.95948448149819,2 477,138,83,56,39,34,58,255,759,1288,1381,1353,1118,1128,1115,1098,1155,1258,1234,1130,1050,841,572,384,267,17785
5,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),50.036401341789336,19.940668585556317,8 909,3229,1853,1177,801,850,1418,4608,8874,10662,9961,10039,10127,10271,10441,10369,10505,10583,10475,9861,9950,10017,9244,7646,5550,178276
6,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,50.045502990481225,19.921371859396203,9 988,604,378,228,150,167,281,953,2438,4061,4122,3737,3159,3113,3118,3339,3956,4607,4603,4158,3509,2811,2069,1601,1115,58233
7,Zakopiańska – Wadowicka – Tischnera – Brożka,50.02911949969696,19.93659856185429,9 639,2120,1196,757,486,619,1059,3780,8179,10642,10538,10259,9644,9752,9979,10305,11115,11805,11650,11524,10836,9593,7580,5727,3855,172847
8,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,50.03044028468512,19.92582587229651,9 639,844,456,269,168,217,377,1443,3461,5948,6315,5627,4691,4729,4805,5165,6048,7290,7902,7289,6229,4935,3516,2519,1652,91835
9,Wielicka – Powstańców Wielkopolskich – Powstańców Śląskich – Limanowskiego,50.041916860484015,19.96131732181708,9 145,4294,2671,1848,1370,1593,2182,5867,12026,14949,14644,14764,14867,15093,15128,15127,15625,15834,15653,15378,15022,14230,12248,9454,6982,256543
10,Bratysławska – Doktora Twardego – Wybickiego,50.083975831239705,19.933523910758876,7 083,644,400,228,154,143,214,795,1854,2620,2670,2581,2659,2722,2715,2810,3114,3193,3205,3100,2962,2633,2045,1544,1120,46077
11,Piastowska – Lea,50.07234480714776,19.904975132532876,4 886,570,377,186,140,119,200,822,1765,2870,3045,2587,2468,2461,2429,2550,2876,3197,3036,2858,2557,2319,1810,1505,1071,43778
12,Armii Krajowej – Zarzecze,50.075784942948644,19.88854377140792,9 113,1504,771,535,540,599,1035,2913,6414,9516,10085,8692,8252,8136,8367,8854,10006,11348,11402,10956,9759,8563,6643,5035,2914,152731
13,Grota-Roweckiego – Trasa Łagiewnicka – Norymberska,50.0298095665477,19.912889850192272,11 860,971,529,330,204,227,430,1633,4604,7639,7650,6422,5454,5344,5396,5753,6605,8017,8395,7828,6631,5397,4334,2987,1948,104657
14,Piastowska – Armii Krajowej – Nawojki,50.070056864563824,19.90398157257015,8 986,1380,751,494,399,434,717,1977,4366,5909,6178,5459,5186,5122,5184,5410,5814,6366,6209,6198,5626,5241,4419,3454,2383,94575
15,Herberta – Turowicza – Trasa Łagiewnicka,50.01488039182882,19.945374109935234,5 332,514,288,170,141,189,362,1493,2963,3124,3129,2962,2871,2928,3015,3136,3472,3622,3736,3621,3393,2965,2197,1600,1018,52868
16,Witosa – Nowosądecka – Łużycka,50.01387902491412,19.96556693891009,8 155,598,319,175,141,173,294,1100,2620,3853,3783,3306,3120,3194,3311,3374,3851,4490,4422,4122,3823,3277,2497,1737,1147,58683
17,Wielicka – Nowosądecka,50.02406923217237,19.979606537099215,8 623,1044,605,372,285,299,545,2123,4150,5204,4727,4365,4509,4686,4861,4934,5338,5556,5564,5330,5114,4495,3617,2803,1943,82393
18,Wielicka – Teligi – Kostaneckiego,50.01393854145358,19.99945280961443,9 335,1093,596,379,307,345,646,2664,5635,7340,6813,6008,6101,6253,6327,6478,7128,7285,7287,6967,6704,5805,4528,3275,2212,108098
19,al. Jana Pawła II – Klasztorna – Bulwarowa – Ptaszyckiego,50.068549729543655,20.052579491677847,5 783,464,268,210,213,299,733,2561,3627,4060,3905,3568,3199,3151,3214,3591,4141,4372,4348,4077,3419,2742,1976,1658,1148,60910
20,Stella-Sawickiego – Wiślicka – al. Bora-Komorowskiego,50.08769816524363,20.00136705741837,9296,2615,1461,902,694,832,1590,5107,9817,11456,10951,10837,10767,11092,11287,11587,12262,13584,13002,12441,12056,11430,9288,7078,4685,196632
21,al. 29 Listopada – Opolska – Lublańska,50.08614757092223,19.954695217179623,8 443,1409,907,573,413,446,700,1958,3751,4507,4562,4569,4565,4726,4682,4689,4963,5005,4766,4903,4760,4673,3986,3093,2295,80801
22,Ks. Józefa – Jodłowa,50.04613046926386,19.87217466743664,8 737,567,355,160,140,259,451,1315,3072,4740,4588,3726,3375,3198,3296,3490,3960,4282,4244,4102,3485,2775,1856,1451,941,59787
23,Zakopiańska – Jugowicka – Zawiła,50.00712607046809,19.92497679813146,9 306,1178,627,423,369,414,744,2857,5849,6918,6899,6474,6378,6406,6502,6704,6934,7176,7141,7174,6893,6205,5001,3650,2431,111262
24,Mogilska – Lema – al. Jana Pawła II – Meissnera,50.071401153625175,19.983327552151852,9 639,1749,1186,835,644,557,617,1260,2504,3875,4587,4918,5469,5925,6451,6647,6829,6794,6573,6399,6198,5349,4027,3130,2345,94743
25,Księcia Józefa – Most Zwierzyniecki,50.049048325295956,19.903616563338538,6 276,962,499,225,221,424,654,1624,4166,7029,7514,7054,6337,6100,6105,6509,7544,8147,8109,7884,6440,5128,3588,2760,1767,106720
26,Pachońskiego – Sosabowskiego – Trasa Wolbromska,50.09482293628519,19.928918514096303,8 819,692,360,189,158,186,342,1460,3686,5338,5210,4188,3728,3730,3782,4077,4949,5862,6001,5396,4750,3781,2748,2018,1281,73861
